title,author,description,age,isbn,image_url,is_picked
きんぎょがにげた,五味太郎,金魚が逃げ出してあちこちに隠れるのを探す参加型の絵本。,3〜6歳,9784834008999,http://books.google.com/books/content?id=sgXwXwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
バムとケロのにちようび,島田ゆか,バムとケロが過ごす楽しい日曜日の物語。,3〜6歳,9784894236790,http://books.google.com/books/content?id=vSlcSAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
からすのパンやさん,かこさとし,からすの家族がパン屋さんをひらき、ユーモラスなパンを作る人気絵本。,3〜6歳,9784032060706,,0
ちいさいおうち,バージニア・リー・バートン,田舎に建てられた小さなおうちが、都市化の波にのまれていく物語。,4〜8歳,9784001151060,http://books.google.com/books/content?id=-5_N0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
三びきのやぎのがらがらどん,ノルウェー民話,3匹のやぎが橋を渡るとき、トロルと対決するお話。,3〜6歳,9784834082128,http://books.google.com/books/content?id=cUIijwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
はじめてのおつかい,筒井頼子,みいちゃんが一人でおつかいに行く冒険を描く絵本。,3〜6歳,9784097277422,http://books.google.com/books/content?id=EFxSSAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
てぶくろをかいに,新美南吉,子ぎつねが母のために手袋を買いに行く心温まる物語。,4〜7歳,9784494077779,,0
だれのあしあと,ふくだとしお,雪に残った足跡をたどっていくと動物たちが出てくるお話。,3〜6歳,9784797483390,http://books.google.com/books/content?id=ZvXmwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
ちょっとだけ,瀧村有子,妹のお世話で忙しいお母さんに「ちょっとだけ」甘えたい女の子のお話。,3〜6歳,9784834022995,http://books.google.com/books/content?id=GlMmNwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
おしいれのぼうけん,古田足日,子どもたちが押入れの中で冒険を繰り広げるお話。,4〜8歳,9784494006069,http://books.google.com/books/content?id=Kv1EAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
だれのおしり,tupera tupera,動物のおしりを当てるユーモラスな絵本。,2〜5歳,9784097353065,http://books.google.com/books/content?id=IRsIMQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
くだもの,平山和子,いろいろな果物を美しく描いた写実的な絵本。,2〜5歳,9784621301678,http://books.google.com/books/content?id=C_VXswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
おばけのてんぷら,せなけいこ,うさこが天ぷらを作るお話におばけがまぎれ込むユーモラスな絵本。,3〜6歳,9784591004890,http://books.google.com/books/content?id=vXuAPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
もこ もこもこ,谷川俊太郎,不思議な音と形が繰り返される詩的な絵本。,2〜5歳,9784580825819,http://books.google.com/books/content?id=Tbi5zwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
うさぎとかめ,イソップ寓話,うさぎとカメのかけっこ勝負を描いた有名な昔話。,3〜6歳,9784805434123,http://books.google.com/books/content?id=_VqxcQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
パンダ銭湯,tupera tupera,パンダの家族が銭湯に行くユーモラスなお話。,3〜6歳,9784871100861,http://books.google.com/books/content?id=XRPNnQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
だるまちゃんとてんぐちゃん,かこさとし,だるまちゃんとてんぐちゃんが仲良く遊ぶ物語。,3〜6歳,9784834082975,http://books.google.com/books/content?id=FU5aMQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
ゆきのひ,エズラ・ジャック・キーツ,雪の日に男の子が外で遊ぶワクワク感を描いた絵本。,3〜6歳,9784834001174,,0
100かいだてのいえ,いわいとしお,100階建ての家を上へ上へと登っていくユニークな絵本。,3〜6歳,9784033327204,http://books.google.com/books/content?id=Tr_9sgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
おばけなんてないさ,せなけいこ,夜の怖さとユーモアを描いたおばけ絵本。,3〜6歳,9784152093059,http://books.google.com/books/content?id=0q9sLwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
どろんこハリー,ジーン・ジオン,白い犬ハリーが泥んこになって大冒険する物語。,3〜6歳,9784898110003,http://books.google.com/books/content?id=bYufQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
おべんとうバス,真珠まりこ,お弁当のおかずたちがバスに乗り込む楽しい絵本。,2〜5歳,9784805446591,,0
ねずみくんのチョッキ,なかえよしを,ねずみくんがチョッキを着ていると、友だちが次々に貸してほしいとやってくる。,3〜6歳,9784591096338,http://books.google.com/books/content?id=Zx9rQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
がたん ごとん がたん ごとん,安西水丸,汽車に次々と動物や物が乗ってくる繰り返しの楽しい絵本。,0〜3歳,9784834027136,http://books.google.com/books/content?id=IUZiuwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
どんぐりとやまねこ,宮沢賢治,どんぐりとやまねこの不思議な裁判の物語。,4〜7歳,9784906358038,,0
ピーターとおおかみ,セルゲイ・プロコフィエフ,音楽とともに楽しむ童話。少年ピーターとオオカミの物語。,4〜8歳,9784900533028,,0
うしろにいるのだあれ,accototo,動物のシルエットを見て当てるクイズ形式の絵本。,2〜5歳,9784797422894,http://books.google.com/books/content?id=HHjN4e9RM9MC&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
わたしのワンピース,にしまきかやこ,うさぎの女の子が作ったワンピースが、いろいろな模様に変わっていく物語。,3〜6歳,9784772100182,http://books.google.com/books/content?id=2IgmAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
おにぎり,平山和子,おにぎりを作る過程をリアルに描いた絵本。,2〜5歳,9784780851311,http://books.google.com/books/content?id=69WlAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0
おふろだいすき,松岡享子,男の子が動物たちと一緒にお風呂に入る楽しいお話。,3〜6歳,9784834008739,http://books.google.com/books/content?id=YiMWYAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
へんしんトンネル,あきやまただし,トンネルを通ると動物や人が変身してしまうユーモラスな絵本。,3〜6歳,9784323033495,http://books.google.com/books/content?id=H2yGOwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
わにわにのおふろ,小風さち,わにわにが豪快にお風呂に入る様子を描いた人気シリーズ。,2〜5歳,9784834024074,http://books.google.com/books/content?id=Rh1bPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
とけいのほん1,まついのりこ,時計の読み方を楽しく学べる絵本。,4〜7歳,9784834002300,http://books.google.com/books/content?id=xq1gAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
しんせつなともだち,方軼羣,寒い冬の日に動物たちが食べ物を分け合う心温まる物語。,3〜6歳,9784834041446,,0
にじいろのさかな,マーカス・フィスター,美しいにじいろのうろこをもつ魚が友情を学ぶ物語。,3〜6歳,9784901492034,,0
いやだいやだ,せなけいこ,「いやだいやだ」とわがままばかり言う女の子のお話。,2〜5歳,9784834030075,,0
めっきらもっきらどおんどん,長谷川摂子,太鼓を叩いていたかんたが、不思議な世界に迷い込む冒険物語。,4〜7歳,9784834023121,,0
おばけのバーバパパ,アネット・チゾン／タラス・テイラー,ピンク色のおばけ・バーバパパが大活躍するシリーズの第一作。,3〜6歳,9784033211800,,0
おばけのホットケーキ,せなけいこ,ホットケーキをめぐるおばけと子どもの愉快なお話。,3〜6歳,,,0
おおきな木,シェル・シルヴァスタイン,少年と木の一生を描いた哲学的な絵本。,5〜8歳,9784784101481,http://books.google.com/books/content?id=jr-KQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
かいじゅうたちのいるところ,モーリス・センダック,マックスが空想の世界でかいじゅうたちと出会う物語。,4〜7歳,9784898111291,http://books.google.com/books/content?id=06r3zQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
たろうのおでかけ,村山桂子,たろうくんが家族と一緒に出かける楽しい1日。,2〜5歳,,,0
だんごむしみつけたよ,松岡達英,子どもたちに人気のダンゴムシを観察する科学絵本。,3〜6歳,9784865491043,http://books.google.com/books/content?id=b49dswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
いろいろバス,tupera tupera,いろいろな色のバスが登場するリズミカルな絵本。,2〜5歳,9784477026596,http://books.google.com/books/content?id=sxQenQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
ふしぎなたけのこ,松野正子,竹やぶから不思議なたけのこがにょきにょき出てくるお話。,3〜6歳,9784834000689,,0
とっときのとっかえっこ,林明子,友だちと物をとっかえっこする中で学ぶ子どもの心。,3〜6歳,9784887502666,http://books.google.com/books/content?id=Yq0Q0QEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
どろぼうがっこう,かこさとし,どろぼうたちが学校で習うユーモラスなお話。,4〜7歳,9784032060409,,0
おばけのバケロン,かとうまふみ,おばけの子どもバケロンがいろいろな冒険をする絵本。,3〜6歳,9784591126776,http://books.google.com/books/content?id=lqWhpwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
ひつじぱん,あきやまただし,ひつじたちがパンを焼くユーモラスなお話。,2〜5歳,9784790233497,,0
ももたろう,松居直,桃から生まれたももたろうが鬼退治に出かける日本の昔話。,3〜6歳,9784834000399,,0
うらしまたろう,松谷みよ子,浦島太郎が竜宮城へ行く日本の昔話。,3〜6歳,9784097468530,,0
きつねのおきゃくさま,あまんきみこ,子ぎつねが心を入れ替える心温まるお話。,4〜7歳,9784914985271,,0
ねこざかな,わたなべしげお,ねことさかなが仲良く一緒に冒険するユーモラスな物語。,3〜6歳,9784577022580,http://books.google.com/books/content?id=o9N0QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
ぐるんぱのようちえん,西内ミナミ,大きな象ぐるんぱが幼稚園をひらいて大活躍するお話。,3〜6歳,9784834015904,,0
きょうはなんのひ,瀬田貞二,子どもの日常を詩的に切り取った作品。,4〜7歳,9784834007527,,0
